Company_ID,CollarID,Fromdepth,Todepth,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,
141,1399616,9,10.0,Nnd,Sand,bioclastic,101,
141,1399616,9,10.0,Nnd,Sand,bioclastic,101,
141,1399614,100,101.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,100,101.0,Ncl,Clay loams and Clay,mud,101,
141,993857,3,4.0,Nnd,Sand,bioclastic,101,
141,1399614,43,44.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,43,44.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,52,53.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,52,53.0,Ncl,Clay loams and Clay,mud,101,
141,993857,3,4.0,Nnd,Sand,bioclastic,101,
141,993857,130,131.0,Shcc,Carbonaceous shale,mudstone,101,
141,993857,130,131.0,Shcc,Carbonaceous shale,mudstone,101,
141,993859,155,156.0,Sd,Dolomite,dolostone,100,
141,993859,155,156.0,Sd,Dolomite,dolostone,100,
141,1399615,41,42.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,60,61.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,60,61.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,62,63.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,62,63.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,41,42.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,78,79.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,78,79.0,Ncl,Clay loams and Clay,mud,101,
141,993859,76,77.0,Ncl,Clay loams and Clay,mud,101,
141,993859,76,77.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,50,51.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,50,51.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,116,117.0,Sd,Dolomite,dolostone,100,
141,1399613,116,117.0,Sd,Dolomite,dolostone,100,
141,993858,36,37.0,Ncl,Clay loams and Clay,mud,101,
141,993858,36,37.0,Ncl,Clay loams and Clay,mud,101,
141,993859,5,6.0,Nnd,Sand,bioclastic,101,
141,993859,5,6.0,Nnd,Sand,bioclastic,101,
141,1399614,36,37.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,36,37.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,176,177.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399615,176,177.0,Shcc,Carbonaceous shale,mudstone,101,
141,993857,30,31.0,Nnd,Sand,bioclastic,101,
141,993857,30,31.0,Nnd,Sand,bioclastic,101,
141,993857,151,152.0,Shcc,Carbonaceous shale,mudstone,101,
141,993857,151,152.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399616,58,59.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,58,59.0,Ncl,Clay loams and Clay,mud,101,
141,993859,13,14.0,Nnd,Sand,bioclastic,101,
141,993859,13,14.0,Nnd,Sand,bioclastic,101,
141,993861,72,73.0,Ncl,Clay loams and Clay,mud,101,
141,993861,72,73.0,Ncl,Clay loams and Clay,mud,101,
141,993857,113,114.0,Shcc,Carbonaceous shale,mudstone,101,
141,993857,113,114.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,90,91.0,Ncl,Clay loams and Clay,mud,101,
141,993860,90,91.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,37,38.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,37,38.0,Ncl,Clay loams and Clay,mud,101,
141,993860,137,138.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,137,138.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,144,145.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,144,145.0,Shcc,Carbonaceous shale,mudstone,101,
141,993859,68,69.0,Ncl,Clay loams and Clay,mud,101,
141,993859,68,69.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,65,66.0,Ncl,Clay loams and Clay,mud,101,
141,993857,49,50.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,106,107.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399613,106,107.0,Shcc,Carbonaceous shale,mudstone,101,
141,993857,94,95.0,Ncl,Clay loams and Clay,mud,101,
141,993857,94,95.0,Ncl,Clay loams and Clay,mud,101,
141,993860,50,51.0,Ncl,Clay loams and Clay,mud,101,
141,993860,50,51.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,51,52.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,51,52.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,73,74.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,73,74.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,97,98.0,Ng,Gravel,gravel,101,
