Company_ID,CollarID,Fromdepth,Todepth,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,Level_3,Level_2,Level_1
141,993861,55.0,56.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,56.0,57.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,57.0,58.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,58.0,59.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,59.0,60.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,60.0,61.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,61.0,62.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,62.0,63.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,63.0,64.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,64.0,65.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,65.0,66.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,66.0,67.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,67.0,68.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,68.0,69.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,69.0,70.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,70.0,71.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,71.0,72.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,72.0,73.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,73.0,74.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,74.0,75.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993861,75.0,76.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,76.0,77.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,77.0,78.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,78.0,79.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,79.0,80.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,80.0,81.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,81.0,82.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,82.0,83.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,83.0,84.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,84.0,85.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,85.0,86.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,86.0,87.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,87.0,88.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,88.0,89.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,89.0,90.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,90.0,91.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,91.0,92.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,92.0,93.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,93.0,94.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,94.0,95.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,95.0,96.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,96.0,97.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,97.0,98.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,98.0,99.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,99.0,100.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,100.0,101.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,101.0,102.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
141,993861,102.0,103.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,dolostone,carbonate,sedimentary rock
4422,1114576,0.0,3.0,LAT,laterite,laterite,101,laterite,residual_deposit,surficial
4422,1114576,3.0,5.0,SA,sandstone,sandstone,101,sandstone,clastic,sedimentary rock
4422,1114576,5.0,6.0,SA,sandstone,sandstone,101,sandstone,clastic,sedimentary rock
4422,1114576,6.0,10.0,SA,sandstone,sandstone,101,sandstone,clastic,sedimentary rock
4422,1114576,10.0,14.0,SA,sandstone,sandstone,101,sandstone,clastic,sedimentary rock
4422,1114576,14.0,19.0,SA,sandstone,sandstone,101,sandstone,clastic,sedimentary rock
