Company_ID,CollarID,Fromdepth,Todepth,Attribute_column,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,Unnamed: 9,detailed_lithology,lithology_subgroup,lithology_group
2705,124928,37.0,38.0,Lith1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124928,38.0,39.0,Lith1,OOO,Unknown,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
2705,124928,49.0,50.0,Lith1,OOO,Unknown,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
2705,124928,50.0,51.0,Lith1,OOO,Unknown,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
2705,124930,71.0,72.0,Lith1,OLO,Unknown lost core no sample  etc,unclassified_rock,100,,glassy_rock,glassy_rock,unclassified_rock
2705,124930,72.0,73.0,Lith1,OLO,Unknown lost core no sample  etc,unclassified_rock,100,,glassy_rock,glassy_rock,unclassified_rock
2705,124930,73.0,74.0,Lith1,OLO,Unknown lost core no sample  etc,unclassified_rock,100,,glassy_rock,glassy_rock,unclassified_rock
2705,124930,74.0,75.0,Lith1,OLO,Unknown lost core no sample  etc,unclassified_rock,100,,unclassified rock,unclassified_rock,unclassified_rock
2705,124930,75.0,76.0,Lith1,OLO,Unknown lost core no sample  etc,unclassified_rock,100,,glassy_rock,glassy_rock,unclassified_rock
2705,124930,76.0,77.0,Lith1,OLO,Unknown lost core no sample  etc,unclassified_rock,100,,glassy_rock,glassy_rock,unclassified_rock
2705,124993,40.0,42.0,Rock1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124993,42.0,44.0,Rock1,OOO,Unknown,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
2705,124993,44.0,46.0,Rock1,OOO,Unknown,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
2705,124993,46.0,48.0,Rock1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124993,48.0,50.0,Rock1,OOO,Unknown,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
2705,124993,50.0,52.0,Rock1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124993,52.0,54.0,Rock1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124993,54.0,56.0,Rock1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
