id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
135,Dioritoid Dioritic_Rock Dioritoid Dioritic_Rock ,dioritoid,intermediate_coarse_grained_crystalline,igneous_rock,1,"Phaneritic crystalline igneous rock with M less than 90, consisting of intermediate plagioclase, commonly with hornblende and often with biotite or augite. Plagioclase to total feldspar ratio is greater that 0.65, and anorthite content of plagioclase is less than 50 percent. Less than 10 percent feldspathoid mineral and less than 20 percent quartz in the QAPF fraction.  Includes rocks defined modally in QAPF fields 9 and 10 (and their subdivisions).",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0073,,
136,Iron_sediment Goethite_sediment Hematite_sediment Limonite_sediment Siderite_sediment Iron_Rich_Sediment ,iron_sediment,sediment_iron,sediment,1,"Sediment that consists of at least 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), as determined by hand-lens or petrographic analysis. Corresponds to a rock typically containing 15 percent iron by weight.",SLTTs 2004,http://resource.geosciml.org/classifier/cgi/lithology/0148,,
137,Travertine Travertine Calcareous_Sinter Tufa Onyx_Marble ,travertine,carbonate,sedimentary_rock,1,"Biotically or abiotically precipitated calcium carbonate, from spring-fed, heated, or ambient-temperature water. May be white and spongy, various shades of orange, tan or gray, and ranges to dense, banded or laminated rock. Macrophytes, bryophytes, algae, cyanobacteria and other organisms often colonize the surface of travertine and may be preserved, to produce the porous varieties.","Neuendorf et al. 2005; http://en.wikipedia.org/wiki/Travertine; Chafetz, H.S., and Folk, R.L., 1984, Travertine: Depositional morphology an dthe bacterially constructed constituents: J. Sed. Petrology, v. 126, p.57-74.",http://resource.geosciml.org/classifier/cgi/lithology/0259,,
138,Tephra Tephra ,tephra,natural_superficial_ground,surficial_rock,1,"Unconsolidated pyroclastic material in which greater than 75 percent of the fragments are deposited as a direct result of volcanic processes and the deposit has not been reworked by epiclastic processes. Includes ash, lapilli tephra, bomb tephra, block tephra and unconsolidated agglomerate.",Hallsworth and Knox 1999; LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0249,,
139,Siliceous_ooze Siliceous_Ooze ,siliceous_ooze,sediment_ooze,sediment,1,ooze that consists of more than 50 percent siliceous skeletal remains,This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0239,,
140,Hornblendite Olivine_hornblendite Olivine_pyroxene_hornblendite Pyroxene_hornblendite Oivine_hornblende_pyroxenite Hornblende_Pyroxenite Hornblendite ,hornblendite,ultramafic_coarse_grained_crystalline,igneous_rock,1.01,"Ultramafic rock that consists of greater than 40 percent hornblende plus pyroxene and has a hornblende to pyroxene ratio greater than 1. Includes olivine hornblendite, olivine-pyroxene hornblendite, pyroxene hornblendite, and hornblendite.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0133,,
141,Peridotite Dunite Hornblende_peridotite Pyroxene_hornblende_peridotite Pyroxene_peridotite Harzburgite Lherzolite Wehrlite Metaperidotite Peridotite Wherlite Lherzolite Harzburgite Olivinite Dunite ,peridotite,ultramafic_coarse_grained_crystalline,igneous_rock,1.01,"Ultramafic rock consisting of more than 40 percent (by volume) olivine with pyroxene and/or amphibole and little or no feldspar. commonly altered to serpentinite. Includes rocks defined modally in the ultramafic rock classification as dunite, harzburgite, lherzolite, wehrlite, olivinite, pyroxene peridotite, pyroxene hornblende peridotite or hornblende peridotite.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0188,,
142,Pyroxenite Hornblende_pyroxenite Olivine_hornblende_pyroxenite Olivine_pyroxenite Olivine_clinopyroxenite Olivine_orthopyroxenite Olivine_websterite Clinopyroxenite Orthopyroxenite Websterite Pyroxenite Websterite Orthopyroxenite Clinopyroxenite ,pyroxenite,ultramafic_coarse_grained_crystalline,igneous_rock,1,"Ultramafic phaneritic igneous rock composed almost entirely of one or more pyroxenes and occasionally biotite, hornblende and olivine. Includes rocks defined modally in the ultramafic rock classification as olivine pyroxenite, olivine-hornblende pyroxenite, pyroxenite, orthopyroxenite, clinopyroxenite and websterite.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0208,,
143,Phosphate_sediment Phosphate_gravel Phosphate_sand Phosphate_mud Phosphate_Rich_Sediment ,phosphate_sediment,sediment_phosphate,sediment,1,Sediment in which at least 50 percent of the primary and/or recrystallized constituents are phosphate minerals.,SLTTs 2004,http://resource.geosciml.org/classifier/cgi/lithology/0195,,
144,Phosphorite Phosphorite ,phosphorite,phosphate,sedimentary_rock,1,"Sedimentary rock in which at least 50 percent of the primary or recrystallized constituents are phosphate minerals. Most commonly occurs as a bedded primary or reworked secondary marine rock, composed of microcrystalline carbonate fluorapatite in the form of lamina, pellets, oolites and nodules, and skeletal, shell and bone fragments.","HallsworthandKnox 1999, Jackson 1997",http://resource.geosciml.org/classifier/cgi/lithology/0197,,
145,Dolostone Dolomite_mudstone Ankerite_mudstone Dolomite_wackestone Ankerite_wackestone Dolomite_packstone Ankerite_packstone Dolomite_grainstone Ankerite_grainstone Dolomite_boundstone Ankerite_boundstone Dolomite_framestone Ankerite_framestone Dolomite_pseudosparstone Ankerite_pseudosparstone Dolomite_sparstone Ankerite_sparstone Dolomite_microsparstone Ankerite_microsparstone Dolomite_microstone Ankerite_microstone Ooid_dolostone Pisoid_dolostone Oncoid_dolostone Microoncoid_dolostone Peloid_dolostone Ankerite_Gravel Ankerite_Mud Ankerite_Sand Ankeritestone Pisoid_Dolostone Peloid_Dolostone Oncoid_Dolostone Microoncoid_Dolostone Dolomite Dolostone Dolostone Pure_Dolomitic_Or_Magnesian_Carbonate_Sedimentary_Rock ,dolostone,carbonate,sedimentary_rock,1.01,Pure carbonate sedimentary rock with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.,This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0078,,
146,Limestone Calcite_Limestone Limestones Limestone Dolomitic_Limestone ,limestone,carbonate,sedimentary_rock,1.01,Pure carbonate sedimentary rock with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1.  Includes limestone and dolomitic limestone.,This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0156,,
147,Pyroclastic_rock Pyroclastic_Rock ,pyroclastic_rock,volcaniclastic,igneous_rock,1,Fragmental igneous rock that consists of greater than 75 percent fragments produced as a direct result of eruption or extrusion of magma from within the earth onto its surface. Includes autobreccia associated with lava flows and excludes deposits reworked by epiclastic processes.,based on LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0207,,
148,Carbonate_sediment Carbonate_Sediment Carbonate_Sedimentary_Material ,carbonate_sediment,sediment_carbonate,sediment,1,"Sediment in which at least 50 percent of the primary and/or recrystallized constituents are composed of one (or more) of the carbonate minerals calcite, aragonite and dolomite, in particles of intrabasinal origin.",SLTTs 2004,http://resource.geosciml.org/classifier/cgi/lithology/0045,,
149,Sedimentary_rock Sedimentary_Rocks Sedimentary_Rocks_Undivided Sedimentary_Rock ,sedimentary_rock,sedimentary_rock,sedimentary_rock,1,"Rock formed by accumulation and cementation of solid fragmental material deposited by air, water or ice, or as a result of other natural agents, such as precipitation from solution, the accumulation of organic material, or from biogenic processes, including secretion by organisms. Includes epiclastic deposits.",SLTTs 2004,http://resource.geosciml.org/classifier/cgi/lithology/0234,,
150,Sediment Sediment ,sediment,sediment,sediment,1,"Unconsolidated material consisting of an aggregation of particles transported or deposited by air, water or ice, or that accumulated by other natural agents, such as chemical precipitation, and that forms in layers on the Earth's surface. Includes epiclastic deposits.",SLTTs 2004,http://resource.geosciml.org/classifier/cgi/lithology/0232,,
151,Kalsilitic_rock Kalsilitite Kalsilitolite Komatiitic_Rock Komatiite Meimechite ,kalsilitic_rock,exotic_crystalline,igneous_rock,1,"Ultramafic, magnesium-rich volcanic rock, typically with spinifex texture of intergrown skeletal and bladed olivine and pyroxene crystals set in abundant glass. Includes komatiite and meimechite.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0152,,
152,Clastic_sediment Clastic_Sediment ,clastic_sediment,sediment_clastic,sediment,1,"Sediment in which at least 50 percent of the constituent particles were derived from erosion, weathering, or mass-wasting of pre-existing earth materials, and transported to the place of deposition by mechanical agents such as water, wind, ice and gravity.",SLTTs 2004; Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0057,"Choice of 'clastic' is purposful. Other suggested labels for this category include siliciclastic and terrigineous clastic. Siliciclastic is considered too limiting because the category includes rocks that consists clasts of carbonate minerals, e.g. epiclastic detritus eroded from carbonate rock.  Terrigineous clastic was considered and rejected first  because it is considered redundant, anything that is terrigineous is clastic. Second, it is questionable if clastic sediment derived by submarine processes (fragementation by gravity sliding, faulting, or volcanic activity, with transport by sediment gravity flow or submarine currents) is terrigineous, but it is clastic and is meant to be included in this category.",
153,Diamicton Silicate_diamicton Diamicton ,diamicton,sediment_clastic,sediment,1,"Unsorted or poorly sorted, clastic sediment with a wide range of particle sizes, including a muddy matrix.  Biogenic materials that have such texture are excluded. Distinguished from conglomerate, sandstone, mudstone based on polymodality and  lack of structures related to transport and deposition of sediment by moving air or water. Assignment to an other size class can be used in conjunction to indicate the dominant grain size.",Fairbridge and Bourgeois 1978,http://resource.geosciml.org/classifier/cgi/lithology/0070,"definition amplified to help distinguish diamicton, conglomerate and wackestone in this version",
154,Wacke Wackes Greywacke Wacke Graywacke ,wacke,siliciclastic,sedimentary_rock,1.01,"Clastic sandstone with more than 10 percent matrix of indeterminate detrital or diagenetic nature. Matrix is mud size silicate minerals (clay, feldspar, quartz, rock fragments, and alteration products).","Pettijohn, Potter, Siever, 1972, Sand and Sandstone: New York, Springer Verlag, 681 p.",http://resource.geosciml.org/classifier/cgi/lithology/0265,"Distinction from mudstone is based on inference that less that 50 percent of the mud size fraction (matrix) is original mud size detrital particles. May also grade into diamictite or conglomerate based on size distribution of discernible particles. If more than 50 percent of rock is detrital particles of intrabasinal orgin and carbonate composition, categorize as carbonate wackestone. Term is typically applied to diagenetically altered volcanic-lithic clastic rocks in which the definition of the original clasts has been obscured. Suggested boundaries between wacke and arenite range from 5 to 15 percent matrix. See Dickinson (1970) for discussion of interpretation of undiscernible matrix in diagenetically altered lithic clastic rocks. Dickinson, W.R., 1970, Interpreting detrital modes of graywacke and arkose:  Journal of Sedimentary Petrology, v. 40, p. 695-707.",
155,Glaucophanite Glaucophane_Lawsonite_Epidote_Metamorphic_Rock Glaucophanite Blueschist Blauschiefer Glaucophane_schist_facies,glaucophanite,high_grade_metamorphic_rock,metamorphic_rock,1,"A metamorphic rock of roughly basaltic composition, defined by the presence of glaucophane with lawsonite or epidote. Other minerals that may be present include jadeite, albite, chlorite, garnet, and muscovite (phengitic white mica). Typically fine-grained, dark colored. Category for rocks commonly referred to as blueschist.",This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0122,"Fabric is weakly developed in this rock in many cases, so the fabric categories 'foliated metamorphic rock, 'schist' or 'granofels' may apply.",
156,Tuffite Tuffite Volcaniclastic_Sedimentary_Rock ,tuffite,volcaniclastic,igneous_rock,1,Rock consists of more than 50 percent particles of indeterminate pyroclastic or epiclastic origin and less than 75 percent particles of clearly pyroclastic origin. commonly the rock is laminated or exhibits size grading. (based on LeMaitre et al. 2002; Murawski and Meyer 1998).,LeMaitre et al. 2002; Murawski and Meyer 1998,http://resource.geosciml.org/classifier/cgi/lithology/0261,"In practice, it is likely that any rock for which there is suspicion that it may consist of redeposited pyroclastic material, usually based on sedimentary structures, irrespective of the presence or percentage of clearly epiclastic particles, would be called a tuffite. 50 percent cutoff with epiclastic rock is in contrast with LeMaitre et al., but is used for consistentency with other sedimentary rock categories following the pattern that the rock name reflects the predominant constituent.",
157,Trachytic_Rock Trachytic_Rock ,trachytic_rock,intermediate_fine_grained_crystalline,igneous_rock,1,"Trachytoid that has a plagioclase to total feldspar ratio between 0.1 and 0.35. QAPF fields 7, 7', and 7*.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0257,"LeMaitre et al. (2002) used 'trachyte' to refer to QAPF fields 7, 7', and 7* in the text (p. 30) as well as to the more restrictive category (QAPF field 7 only). The term Trachytic rock is introduced here to label this more general category of trachyte.",
158,Rhyolitoid Rhyolitic_Rock Rhyolitoid Rhyolitic_Rock ,rhyolitoid,felsic_fine_grained_crystalline,igneous_rock,1,"fine_grained_igneous_rock consisting of quartz and alkali feldspar, with minor plagioclase and biotite, in a microcrystalline, cryptocrystalline or glassy groundmass. Flow texture is common. Includes rocks defined modally in QAPF fields 2 and 3 or chemically in TAS Field R as rhyolite. QAPF normative definition is based on modal mineralogy thus: less than 90 percent mafic minerals, between 20 and 60 percent quartz in the QAPF fraction, and ratio of plagioclse to total feldspar is less than 0.65.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0224,"Note that technical definition, based on modal mineralogy plotted in a QAPF triangle may be applied qualitatively, based on phenocryst mineralogy when ground mass mineralogy can not be determined optically, or based on CIPW norm. Although TAS categories are defined based on chemical analyses, the correspondence with the QAPF defined categories is generally close enough that QAPF categories are commonly used interchangeably with TAS categories. It is important to note the basis for assignment of fine-grained igneous rocks to a specifice lithology category.",
159,Gabbro Metagabbro Gabbro ,gabbro,mafic_coarse_grained_crystalline,igneous_rock,1.01,Gabbroic rock that contains between 0 and 5 percent quartz and no feldspathoid mineral in the QAPF fraction.  Includes rocks defined modally in QAPF Field 10 as gabbro.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0114,"Note that this category includes gabbro (sensu stricto) of LeMaitre et al. 2002, but is broader, including the other rock types defined by orthopyroxene-clinopyroxene-olivine-hornblende mineral ratios.",
160,Glassy_igneous_rock Glassy_Igneous_Rock Glass_Rich_Igneous_Rock ,glassy_igneous_rock,igneous_rock,igneous_rock,1,Igneous rock that consists of greater than 80 percent massive glass.,This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0121,"Note that this category is used for massive glassy rocks. Much of the pyroclastic material in a pyroclastic rock may be composed of glass, but the rock is named based on its fragmental nature.",Change percent criteria from 90 to 80 percent for version 2009.
161,Packstone Packstone ,packstone,siliceous,sedimentary_rock,1,"Carbonate sedimentary rock with discernible grain supported depositional texture, containing greater than 10 percent grains, and constituent particles are of intrabasinal origin; intergranular spaces are filled by matrix.",Hallsworth and Knox 1999,http://resource.geosciml.org/classifier/cgi/lithology/0183,Note that this category overlaps with 'carbonate mudstone'.,
162,Andesite Andesite_undifferentiated Andesite_Intrusive Andesite_Porphyry Andesitic_Volcanics Meta_andesite Andesitic_volcanic Andesitic_Porphyry Andesitic_Peperite Andesite Basaltic_Andesite Mela_Andesite Leuco_Basalt ,andesite,intermediate_fine_grained_crystalline,igneous_rock,1.01,"Fine-grained igneous rock with less than 20 percent quartz and less than 10 percent feldspathoid minerals in the QAPF fraction, in which the ratio of plagioclase to total feldspar is greater 0.65.  Includes rocks defined modally in QAPF fields 9 and 10 or chemically in TAS field O2 as andesite. Basalt and andesite, which share the same QAPF fields, are distinguished chemically based on silica content, with basalt defined to contain less than 52 weight percent silica.  If chemical data are not available, the color index is used to distinguish the categories, with basalt defined to contain greater than 35 percent mafic minerals by volume or greater than 40 percent mafic minerals by weight. Typically consists of plagioclase (frequently zoned from labradorite to oligoclase), pyroxene, hornblende and/or biotite. Fine grained equivalent of dioritic rock.",after LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0011,"Note the mela-andesite and leuco-basalt categories are not recommended in this system. If chemical analytical data are available to constrain the silica content, the basalt or andesite category should be used.",
163,Quartz_rich_coarse_grained_crystalline_rock Quartzolite Quartz_rich_granitic_rock Quartz_Rich_Igneous_Rock Quartzolite Quartz_Rich_Granitoid ,quartz_rich_coarse_grained_crystalline_rock,felsic_coarse_grained_crystalline,igneous_rock,1,Phaneritic crystalline igneous rock that contains less than 90 percent mafic minerals and contains greater than 60 percent quartz in the QAPF fraction.,Gillespie and Styles 1999; LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0218,"Occurrence of igneous rocks meeting this criteria seems to be vanishingly rare, thus subdividing the category does not seem warranted for the purposes of This vocabulary. Future usage of the vocabulary may motivate including quatzolite and quartz-rich granitoid in future revisions",
164,Silicate_Mudstone Silicate_Mudstone ,silicate_mudstone,siliciclastic,sedimentary_rock,1,Mudstone that contains less than 10 percent carbonate minerals.,This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0238,Operational distinction of this category will typically be based on whether or not the rock fizzes when hydrochloric acid is applied--the rock is silicate mudstone if it does not fizz. The quantitative '10 percent' criteria is fuzzy.,
165,Metamorphic_rock Metamorphic_Rock Fulgurite Buchite ,metamorphic_rock,metamorphic,metamorphic_rock,1,"Rock formed by solid-state mineralogical, chemical and/or structural changes to a pre-existing rock, in response to marked changes in temperature, pressure, shearing stress and chemical environment.",Jackson 1997,http://resource.geosciml.org/classifier/cgi/lithology/0159,"Robertson (1999) defines the boundary between diagenesis and metamorphism in sedimentary rocks as follows: the boundary between diagenesis and metamorphism is somewhat arbitrary and strongly dependent on the lithologies involved.  For example changes take place in organic materials at lower temperatures than in rocks dominated by silicate minerals.  In mudrocks, a white mica (illite) crystallinity value of &lt; 0.42D.2U obtained by X-ray diffraction analysis, is used to define the onset of metamorphism (Kisch, 1991).  In this scheme, the first appearance of glaucophane, lawsonite, paragonite, prehnite, pumpellyite or stilpnomelane is taken to indicate the lower limit of metamorphism (Frey and Kisch, 1987; Bucher and Frey, 1994; Frey and Robinson, 1998).  Most workers agree that such mineral growth starts at 150 ± 50° C in silicate rocks.  Many lithologies may show no change in mineralogy under these conditions and hence the recognition of the onset of metamorphism will vary with bulk composition.",
166,Metasomatic_rock Metasomatic_Rock Aceite Rodingite Gumbeite Propylite Argillisite Endoskarn Beresite Greisen Fenite Spilite ,metasomatic_rock,metasomatic,metamorphic_rock,1,"Rock that has fabric and composition indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.",This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0160,"SLTTm (2004) proposed the following criteria to distinguish hydrothermally altered or metasomatic rock from igneous rock.  ""The rock is classified as metamorphic if (1) the texture has been modified such that it can no longer be considered igneous, (2) the bulk composition of the rock is inconsistent with compositions that can be derived purely from a magma and associated processes such as assimilation and differentiation, or (3) minerals inconsistent with magmatic crystallization are present.""",
167,Organic_rich_sediment Organic_Rich_Sediment ,organic_rich_sediment,sediment_organic,sediment,1,"Sediment with color, composition, texture and apparent density indicating greater than 50 percent organic content by weight on a moisture-free basis.",SLTTs 2004,http://resource.geosciml.org/classifier/cgi/lithology/0179,"The broader relation from organic rich sediment to biogenic sediment is based on the inference that organic rich material is always biogenic in origin. Biogenic is a broader category because not all biogenic materials are organic rich, for example shells or phosphatic bone.",
168,Clastic_sedimentary_rock Clastic_Sedimentary_Rock ,clastic_sedimentary_rock,clastic,sedimentary_rock,1,"Sedimentary rock in which at least 50 percent of the constituent particles were derived from erosion, weathering, or mass-wasting of pre-existing earth materials, and transported to the place of deposition by mechanical agents such as water, wind, ice and gravity.",SLTTs 2004; Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0059,"The conglomerate, sandstone, mudstone, and wackestone categories are not defined as kinds of clastic sedimentary rocks because rocks meeting their purely grainsize based definitions might also be iron-rich, phosphatic, or carbonate. This is based on GeoSciML allowance to assign rocks to more than one lithology category. For example to categorize a rock as a clastic conglomerate requires assignment ot the 'clastic sedimentary rock' category and to the 'conglomerate' category. Particularly for fine-grained sedimentary rocks, distinction of 'intrabasinal' versus 'clastic' genesis can be very interpretive. In practice the use of clastic mudstone terminology as opposed to carbonate mudstone terminology may be dermined by a priori knowledge about the rock being categorized. If it is associated with other clastic rocks, the clastic categories will be favored, if with cabonate rocks, the carbonate categories will be favored.",
169,Granulite Granulite Nebulite Granulite_Facies,granulite,high_grade_metamorphic_rock,metamorphic_rock,1.01,"Metamorphic rock of high metamorphic grade in which Fe-Mg silicate minerals are dominantly hydroxl-free; feldspar must be present, and muscovite is absent; rock contains less than 90 percent mafic minerals,  less than 75 percent calcite and/or dolomite, less than 75 percent quartz, less than 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), and less than 50 percent calc-silicate minerals.","Fettes and Desmons (2007).  See also  Wimmenauer (1985), Winkler (1979) (D.R. Bowes (1989), The Encyclopedia of Igneous and Metamorphic Petrology; Van Nostrand Reinhold ISBN: 0-442-20623-2 ; wikipedia, http://en.wikipedia.org/wiki/Granulite accessed 5/30/09",http://resource.geosciml.org/classifier/cgi/lithology/0129,"Wimmenauer (1985) requires granulite to consist of at least 20 percent feldspar. Garnet is frequently present; some hornblende or biotite may be present. The rock has a granoblastic texture and gneissose to massive structure; grain size and fabric may be variable on a decimetric scale. Foliation is less well developed than in rock that would typically be called gneiss. The minerals present in a granulite vary depending on the protolith and the temperature and pressure conditions experienced during metamorphism. According to Fettes and Desmons (2007) the main calc-silicate minerals are calcic garnet, calcic plagioclase, calcic scapolite, diopside-hedenbergite, epidote group minerals, hydrogrossular, johannsenite, prehnite, pumpellyite, titanite, vesuvianite, wollastonite. Note that the shale and siltstone categories may apply to any of the mineralogically defined mudstone categories.",
170,Fine_grained_volcanic_normal_crystalline_igneous_rock volcanic_rock ,fine_grained_volcanic_normal_crystalline_igneous_rock,fine_grained_crystalline,igneous_rock,1,,,,,
171,Hybrid_igneous_rock_and_intrusive_breccia ,hybrid_igneous_rock_and_intrusive_breccia,felsic_fine_grained_crystalline,igneous_rock,1,,,,,
172,Very_low_to_low_grade_metamorphic_rock Very_low_metamorphic_grade Low_metamorphic_grade,very_low_to_low_grade_metamorphic_rock,low_grade_metamorphic_rock,metamorphic_rock,1,,,,,
173,Fault_related_alkaline_metasomatite ,fault_related_alkaline_metasomatite,metasomatic,metamorphic_rock,1,,,,,
174,Cryptocrystalline_Sedimentary_Rock ,cryptocrystalline_sedimentary_rock,sedimentary_rock,sedimentary_rock,1,,,,,
175,Glaciofluvial_Ice_Contact_Deposits Ice_Contact_Glaciofluvial_Deposit Ice_Contact_Glaciofluvial_Deposits ,glaciofluvial_ice_contact_deposits,glacigenic_deposit,surficial_rock,1,,,,,
176,Fine_crystalline_Sedimentary rock ,fine_crystalline_sedimentary rock,sedimentary_rock,sedimentary_rock,1,,,,,
177,Interglacial_Lacustrine_Deposits ,interglacial_lacustrine_deposits,lacustrine_deposit,surficial_rock,1,,,,,
178,Normal_crystalline_igneous_rock ,normal_crystalline_igneous_rock,igneous_rock,igneous_rock,1,,,,,
179,Volcaniclastic_sedimentary_rock ,volcaniclastic_sedimentary_rock,volcaniclastic,igneous_rock,1,,,,,
180,Contact_metamorphic_glassy_rock Buchite ,contact_metamorphic_glassy_rock,contact_metamorphic,metamorphic_rock,1,,,,,
181,Metavolcaniclastic_Conglomerate ,metavolcaniclastic_conglomerate,volcaniclastic,sedimentary_rock,1,,,,,
182,Coarse_grained_ultramafic_rock Ultramafic_Intrsuive ,coarse_grained_ultramafic_rock,ultramafic_coarse_grained_crystalline,igneous_rock,1,,,,,
183,Glaciofluvial_Channel_Deposits ,glaciofluvial_channel_deposits,proglacial_deposits,surficial_rock,1,,,,,
184,Non_Ultramafic_Melilitic_Rock ,non_ultramafic_melilitic_rock,exotic_crystalline,igneous_rock,1,,,,,
185,Gravel_Grade_Sedimentary_Rock ,gravel_grade_sedimentary_rock,sedimentary_rock,sedimentary_rock,1,,,,,
186,Tuffaceous_Silicate_Sandstone ,tuffaceous_silicate_sandstone,volcaniclastic_debris,sedimentary_rock,1,,,,,
187,Fine_grained_ultramafic_rock Ultramafic_Extrusive ,fine_grained_ultramafic_rock,felsic_fine_grained_crystalline,igneous_rock,1,,,,,
188,Carbonatite_related_albitite ,carbonatite_related_albitite,metasomatic,metamorphic_rock,1,,,,,
189,Limestone/Silicate_Sandstone ,limestone/silicate_sandstone,hybrid,sedimentary_rock,1,,,,,
190,Siliclastic_sedimentary_rock ,siliclastic_sedimentary_rock,siliciclastic,sedimentary_rock,1,,,,,
191,Metavolcaniclastic_Sandstone ,metavolcaniclastic_sandstone,volcaniclastic,sedimentary_rock,1,,,,,
192,Interglacial_Fluvial_Deposit ,interglacial_fluvial_deposit,alluvial_deposit,surficial_rock,1,,,,,
193,Interglacial_Marine_Deposits ,interglacial_marine_deposits,coastal_deposit,surficial_rock,1,,,,,
194,Fine_grained_melititic_rock Melilitite Olivine_melilitite Melilitite ,fine_grained_melititic_rock,exotic_crystalline,igneous_rock,1,,,,,
195,Tuffaceous_sedimentary_rock Tuffaceous_breccia Tuffaceous_conglomerate Tuffaceous_mudstone Tuffaceous_sandstone Tuffaceous_siltstone Tuffaceous_wacke ,tuffaceous_sedimentary_rock,volcaniclastic,igneous_rock,1,,,,,
196,Volcaniclastic_conglomerate ,volcaniclastic_conglomerate,volcaniclastic,igneous_rock,1,,,,,
197,Volcaniclastic_Igneous_Rock ,volcaniclastic_igneous_rock,volcaniclastic,igneous_rock,1,,,,,
198,High_grade_metamorphic_rock Very_high_metamorphic_grade,high_grade_metamorphic_rock,high_grade_metamorphic_rock,metamorphic_rock,1,,,,,
199,Ultramafic_metamorphic_rock ,ultramafic_metamorphic_rock,high_grade_metamorphic_rock,metamorphic_rock,1,,,,,
200,Metavolcaniclastic_Mudstone ,metavolcaniclastic_mudstone,volcaniclastic,sedimentary_rock,1,,,,,
201,Intermediate_plutonic_rock ,intermediate_plutonic_rock,intermediate_coarse_grained_crystalline,igneous_rock,1,,,,,
202,Intermediate_volcanic_rock ,intermediate_volcanic_rock,intermediate_fine_grained_crystalline,igneous_rock,1,,,,,
203,Pyroxene_hornblende_gabbro Pyroxene_hornblende_opx_gabbro ,pyroxene_hornblende_gabbro,mafic_coarse_grained_crystalline,igneous_rock,1,,,,,
204,Mud_Grade_Sedimentary_Rock ,mud_grade_sedimentary rock,sedimentary_rock,sedimentary_rock,1,,,,,
205,Quartz_Rich_Granitic_Rock ,quartz_rich_granitic_rock,felsic,igneous_rock,1,,,,,
206,Ultramafic_Melilitic_Rock ,ultramafic_melilitic_rock,ultramafic,igneous_rock,1,,,,,
207,High_P/T_metamorphic_rock High_metamorphic_grade,high_p/t_metamorphic_rock,high_grade_metamorphic_rock,metamorphic_rock,1,,,,,
208,Ultrabasic_plutonic_rock ,ultrabasic_plutonic_rock,ultramafic_coarse_grained_crystalline,igneous_rock,1,,,,,
209,Ultrabasic_volcanic_rock ,ultrabasic_volcanic_rock,ultramafic_fine_grained_crystalline,igneous_rock,1,,,,,
210,Volcaniclastic_sandstone Volcaniclastic_wacke Andesitic_volcaniclastic_sandstone Basaltic_volcaniclastic_sandstone Dacitic_volcaniclastic_sandstone Rhyolitic_volcaniclastic_sandstone ,volcaniclastic_sandstone,volcaniclastic,igneous_rock,1,,,,,
211,Volcaniclastic_siltstone ,volcaniclastic_siltstone,volcaniclastic,igneous_rock,1,,,,,
212,Contact_metamorphic_rock Contact_metamorphic_origin Contact_metamorphism,contact_metamorphic_rock,contact_metamorphic,metamorphic_rock,1,,,,,
213,Glaciolacustrine_Deposit Glaciolacustrine_Deposits Glacilacustrine_Deposits ,glaciolacustrine_deposit,proglacial_deposits,surficial_rock,1,,,,,
214,Compactional_Shear_Bands ,compactional_shear_bands,breaks,texture_structure,1,,,,,
215,Incohesive_fault_breccia ,incohesive_fault_breccia,fault_rock,texture_structure,1,,,,,
216,Aegirine_nepheline_rock ,aegirine_nepheline_rock,exotic_crystalline,igneous_rock,1,,,,,
217,Basaltic_trachyandesite Mugearite Shoshonite ,basaltic_trachyandesite,intermediate_fine_grained_crystalline,igneous_rock,1,,,,,
