id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
601,Salt_Marsh ,salt_marsh,natural_superficial_ground,surficial_rock,1,,,,,
602,Sand_Banks ,sand_banks,natural_superficial_ground,surficial_rock,1,,,,,
603,Blockfield Block_Field ,blockfield,residual_deposit,surficial_rock,1,,,,,
604,Ferricrete ,ferricrete,residual_deposit,surficial_rock,1.01,,,,,
605,Stylolites ,stylolites,breaks,texture_structure,1,,,,,
606,Shear_Zone ,shear_zone,breaks,texture_structure,1,,,,,
607,Fault_rock Fault_Rocks Fault_Zone ,fault_rock,fault_rock,texture_structure,1,,,,,
608,Lamproite ,lamproite,exotic_crystalline,igneous_rock,1,,,,,
609,Komatiite Basaltic_Komatiite Peridotitic_Komatiite ,komatiite,felsic_fine_grained_crystalline,igneous_rock,1,,,,,
610,Basaltoid Basaltic_Rock ,basaltoid,mafic_fine_grained_crystalline,igneous_rock,1,,,,,
611,Tachylite ,tachylite,mafic_glassy,igneous_rock,1,,,,,
612,Anatexite ,anatexite,high_grade_metamorphic_rock,metamorphic_rock,1,,,,,
613,Garnetite ,garnetite,high_grade_metamorphic_rock,metamorphic_rock,1,,,,,
614,Zoisitite ,zoisitite,high_grade_metamorphic_rock,metamorphic_rock,1,,,,,
615,Talc_rock Talc ,talc_rock,metamorphic,metamorphic_rock,1,,,,,
616,Gumberite ,gumberite,metasomatic,metamorphic_rock,1,,,,,
617,Propylite ,propylite,metasomatic,metamorphic_rock,1,,,,,
618,Rodingite ,rodingite,metasomatic,metamorphic_rock,1,,,,,
619,Iron_sand Goethite_sand Siderite_sand Limonite_sand Hematite_sand ,iron_sand,sediment_iron,sediment,1,,,,,
620,Aragonite Aragonite_Gravel Aragonite_Limestone Aragonite_Mud Aragonite_Sand ,aragonite,carbonate,sedimentary_rock,1,,,,,
621,Beachrock ,beachrock,carbonate,sedimentary_rock,1,,,,,
622,Carbonate Carbonate_rock ,carbonate,carbonate,sedimentary_rock,1.01,,,,,
623,Sparstone ,sparstone,carbonate,sedimentary_rock,1,,,,,
