Level_3,Level_2,Level_1
phosphate-boundstone,phosphate,sedimentary rock
phosphate-grainstone,phosphate,sedimentary rock
phosphate-wackestone,phosphate,sedimentary rock
metasedimentary-rock,sedimentary rock,sedimentary rock
ferruginous_deposits,chemical_deposit,surficial
coastal_zone_deposit,coastal_deposit,surficial
storm_beach_deposits,coastal_deposit,surficial
gelifluction_deposit,natural_superficial_ground,surficial
solifluction_deposit,natural_superficial_ground,surficial
glacimarine_deposits,proglacial deposits,surficial
glaciomarine_deposit,proglacial deposits,surficial
pedoplasmation_front,residual_deposit,surficial
dialtion-shear_bands,breaks,texture_structure
tephritic-phonolite,feldspathic_fine-grained crystalline,igneous
phonolitic-basanite,feldspathic_fine-grained crystalline,igneous
phonolitic-tephrite,feldspathic_fine-grained crystalline,igneous
comenditic rhyolite,felsic_fine-grained crystalline,igneous
glassy_igneous_rock,igneous rock,igneous
quartz-monzodiorite,intermediate_coarse-grained crystalline,igneous
comenditic trachyte,intermediate_fine-grained crystalline,igneous
basic_plutonic_rock,mafic_coarse-grained crystalline,igneous
basic_volcanic_rock,mafic_fine-grained crystalline,igneous
tuffaceous-sediment,volcaniclastic,igneous
volcaniclastic-sand,volcaniclastic,igneous
secondary-quartzite,metasomatic,metamorphic rock
lime-microsparstone,carbonate,sedimentary rock
mud-grade limestone,carbonate,sedimentary rock
phosphate-packstone,phosphate,sedimentary rock
feldspathic-arenite,siliciclastic,sedimentary rock
artificial_material,artificial_man-made_ground,surficial
pulverised_fuel_ash,artificial_man-made_ground,surficial
salt_marsh_deposits,coastal_deposit,surficial
tidal_creek_deposit,coastal_deposit,surficial
translational_slide,natural_superficial_ground,surficial
glaciofluvial_sheet,proglacial deposits,surficial
cohesive_fault-rock,fault_rock,texture_structure
ultrapotassic_rock,exotic_crystalline,igneous
acid_plutonic_rock,felsic_coarse-grained crystalline,igneous
acid_volcanic_rock,felsic_fine-grained crystalline,igneous
quartz-anorthosite,mafic_coarse-grained crystalline,igneous
quartz-monzogabbro,mafic_coarse-grained crystalline,igneous
volcaniclastic-mud,volcaniclastic,igneous
greenschist_facies,greenschist,metamorphic rock
calc-silicate_rock,metacarbonate,metamorphic rock
metacarbonate_rock,metacarbonate,metamorphic rock
carbonate_sediment,sediment_carbonate,sediment
phosphate-sediment,sediment_phosphate,sediment
metacarbonate-rock,carbonate,sedimentary rock
sapropelic lignite,organic-rich,sedimentary rock
oncoid-phosphorite,phosphate,sedimentary rock
peloid-phosphorite,phosphate,sedimentary rock
phosphate-mudstone,phosphate,sedimentary rock
pisoid-phosphorite,phosphate,sedimentary rock
mud-grade-sediment,sedimentary rock,sedimentary rock
silicate-sandstone,siliciclastic,sedimentary rock
silicate-siltstone,siliciclastic,sedimentary rock
fluvioaeolian silt,aeolian_deposit,surficial
biological_deposit,biological_deposit,surficial
intertidal_deposit,coastal_deposit,surficial
supratidal_deposit,coastal_deposit,surficial
glacigenic_deposit,glacigenic_deposit,surficial
lacustrine_deposit,lacustrine_deposit,surficial
dry_valley_deposit,natural_superficial_ground,surficial
shell_bank_deposit,natural_superficial_ground,surficial
basaltic-andesite,intermediate_fine-grained crystalline,igneous
hornblende-gabbro,mafic_coarse-grained crystalline,igneous
block-bomb-tephra,volcaniclastic,igneous
bomb-block-tephra,volcaniclastic,igneous
ortho-amphibolite,high-grade metamorphic rock,metamorphic rock
albitized_granite,metasomatic,metamorphic rock
dolomite-sediment,sediment_carbonate,sediment
diatomaceous-ooze,sediment_ooze,sediment
crinoid-limestone,carbonate,sedimentary rock
na-carbonate-rock,carbonate,sedimentary rock
humic_coal_series,organic-rich,sedimentary rock
organic-rich-rock,organic-rich,sedimentary rock
feldspathic-wacke,siliciclastic,sedimentary rock
silicate-mudstone,siliciclastic,sedimentary rock
sublithic-arenite,siliciclastic,sedimentary rock
landscaped_ground,artificial_man-made_ground,surficial
radioactive_waste,artificial_man-made_ground,surficial
morainic_deposits,glacigenic_deposit,surficial
glacial_diamicton,natural_superficial_ground,surficial
shoreface_deposit,natural_superficial_ground,surficial
subtidal_deposits,proglacial deposits,surficial
cementation_front,residual_deposit,surficial
Other,unclassified rock,unclassified_rock
unclassified rock,unclassified rock,unclassified_rock
quartz-monzonite,intermediate_coarse-grained crystalline,igneous
pyroclastic-rock,volcaniclastic,igneous
volcanic_breccia,volcaniclastic,igneous
felsic-granulite,high-grade metamorphic rock,metamorphic rock
para-amphibolite,high-grade metamorphic rock,metamorphic rock
metamorphic_rock,metamorphic,metamorphic rock
albitized_gneiss,metasomatic,metamorphic rock
metasomatic-rock,metasomatic,metamorphic rock
massive_sulphide,ore,mineralisation
clastic-sediment,sediment_clastic,sediment
radiolarian-ooze,sediment_ooze,sediment
phosphate-gravel,sediment_phosphate,sediment
dolomicrosparite,carbonate,sedimentary rock
oncoid-limestone,carbonate,sedimentary rock
peloid-limestone,carbonate,sedimentary rock
pisoid-limestone,carbonate,sedimentary rock
sodium carbonate,carbonate,sedimentary rock
carnallite-stone,evaporite,sedimentary rock
colemanite-stone,evaporite,sedimentary rock
kierserite-stone,evaporite,sedimentary rock
polyhalite-stone,evaporite,sedimentary rock
oncoid-ironstone,ironstone,sedimentary rock
peloid-ironstone,ironstone,sedimentary rock
pisoid-ironstone,ironstone,sedimentary rock
ooid-phosphorite,phosphate,sedimentary rock
sedimentary_rock,sedimentary rock,sedimentary rock
alluvial_deposit,alluvial_deposit,surficial
terrace_deposits,alluvial_deposit,surficial
bonded_aggregate,artificial_man-made_ground,surficial
disturbed_ground,artificial_man-made_ground,surficial
industrial_waste,artificial_man-made_ground,surficial
chemical_deposit,chemical_deposit,surficial
deltaic_deposits,coastal_deposit,surficial
blanket_bog_peat,natural_superficial_ground,surficial
megaripple_field,natural_superficial_ground,surficial
older_sand_dunes,natural_superficial_ground,surficial
rotational_slide,natural_superficial_ground,surficial
outwash_deposits,proglacial deposits,surficial
sea-bed_deposits,proglacial deposits,surficial
clay-with-flints,residual_deposit,surficial
residual_deposit,residual_deposit,surficial
compaction_bands,breaks,texture_structure
kalsilitic-rock,exotic_crystalline,igneous
phonolitic-rock,feldspathic_fine-grained crystalline,igneous
quartz-trachyte,intermediate_fine-grained crystalline,igneous
ultramafic-rock,ultramafic,igneous
ash_and_lapilli,volcaniclastic,igneous
mafic-granulite,high-grade metamorphic rock,metamorphic rock
hornblende-rock,metamorphic,metamorphic rock
hybrid-sediment,sediment,sediment
bituminous-sand,sediment_organic,sediment
lime-boundstone,carbonate,sedimentary rock
