"id","dhgeologyid","attributecolumn","attributevalue","modifieddate","modifiedby","mrtdetailid","id-2","collarid","fromdepth","todepth","units","accuracy","modifieddate-2","modifiedby-2","mrtfileid"
"86509095",11473858,"H2O","m",NULL,NULL,511785,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509094",11473858,"SQ","G",NULL,NULL,511784,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509093",11473858,"Vein1%","2",NULL,NULL,511781,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509092",11473858,"Vein1","qtz",NULL,NULL,511780,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509091",11473858,"Texture","bnd",NULL,NULL,511779,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509090",11473858,"Structure","ind",NULL,NULL,511778,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509089",11473858,"Mineralisation3","amp",NULL,NULL,511777,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509088",11473858,"Mineralisation2","sil",NULL,NULL,511776,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509087",11473858,"Mineralisation1","mnt",NULL,NULL,511775,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509086",11473858,"Grain","fg",NULL,NULL,511774,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509085",11473858,"Lithology2","Vq",NULL,NULL,511773,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509084",11473858,"Lithology1","Sif",NULL,NULL,511772,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"86509083",11473858,"Colour","dgy",NULL,NULL,511769,11473858,792887,"109","110",NULL,NULL,NULL,NULL,22458
"223138745",29938450,"Vein1","QC",NULL,NULL,1316919,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138744",29938450,"Strength","M",NULL,NULL,1316918,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138743",29938450,"Samp_Qual","GS",NULL,NULL,1316916,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138742",29938450,"Structure","MSF",NULL,NULL,1316915,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138741",29938450,"Mineralogy_2","CY",NULL,NULL,1316901,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138740",29938450,"Mineralogy_1","CH",NULL,NULL,1316900,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
