CompanyID,Company_LithoCode,Company_Litho,Company_Litho_Cleaned,CET_Litho,Score
2664,As,Archaean Sediment,archaean sediment,sediment,101
2664,Qls,Quaternary Saprock,quaternary saprock,saprock,101
2664,Arc,Archaean Greenschist Metamorphism Chlorite Schist,archaean greenschist metamorphism chlorite schist,schist,101
2664,Aog,Archaean Mafic Intrusive Gabbro,archaean mafic intrusive gabbro,gabbro,101
2664,Asp,Archaean Sediment Sandstone,archaean sediment sandstone,sandstone,101
2664,Afu,Archaean Acid Extrusive Undifferentiated Acid  Volcanics,archaean acid extrusive undifferentiated acid volcanics,unclassified_rock,100
2664,Qsc,Quaternary Silcrete,quaternary silcrete,silcrete,101
2664,Czcv,Cainozoic Colluvium,cainozoic colluvium,colluvium,101
2664,Aci,Archaean Chemical Sediments BIF,archaean chemical sediments bif,sediments,100
2664,Qcv,Quaternary Colluvium,quaternary colluvium,colluvium,101
2664,Aod,Archaean Mafic Intrusive Dolerite,archaean mafic intrusive dolerite,dolerite,101
2664,Cab,Cambrian Amphibolite Metamorphism Biotite Schist,cambrian amphibolite metamorphism biotite schist,schist,101
2664,Cb,Cambrian Mafic Extrusive,cambrian mafic extrusive,mafic,100
2664,Cy,Cambrian Mylonite,cambrian mylonite,mylonite,101
2664,Qv,Quaternary Vein material,quaternary vein material,vein,100
2664,Agm,Archaean Acid Intrusive Monzogranite,archaean acid intrusive monzogranite,monzogranite,101
2664,Qhp,Quaternary Hardpan,quaternary hardpan,unclassified_rock,52
2664,Qap,Quaternary Amphibolite Metamorphism Para-amphibolite,quaternary amphibolite metamorphism para amphibolite,amphibolite,101
2664,Auu,Archaean Ultramafic Extrusive Undifferentiated Ultramafic,archaean ultramafic extrusive undifferentiated ultramafic,unclassified_rock,100
2664,Auu,Archaean Ultramafic Intrusive Undifferentiated Ultramafic,archaean ultramafic intrusive undifferentiated ultramafic,unclassified_rock,100
2664,Ac,Archaean Chemical Sediments,archaean chemical sediments,sediments,101
2664,Ars,Archaean Greenschist Metamorphism Schist,archaean greenschist metamorphism schist,schist,101
2664,Au,Archaean Ultramafic Intrusive,archaean ultramafic intrusive,unclassified_rock,80
2664,Czs,Cainozoic Sediment,cainozoic sediment,sediment,101
2664,Hp,Carboniferous Massive sulphide,carboniferous massive sulphide,massive_sulphide,101
2664,Qlglt,Quaternary Lag Lateritic ,quaternary lag lateritic ,lag,100
2664,Au,Archaean Ultramafic Extrusive,archaean ultramafic extrusive,unclassified_rock,80
2664,Qct,Quaternary Calcrete,quaternary calcrete,calcrete,101
2664,Tlc,Triassic Lamprophyre/Kimberlites Carbonatite,triassic lamprophyre kimberlites carbonatite,carbonatite,101
2664,Qmz,Quaternary Mottled Zone,quaternary mottled zone,unclassified_rock,63
2664,Czlc,Cainozoic Lamprophyre/Kimberlites Carbonatite,cainozoic lamprophyre kimberlites carbonatite,carbonatite,101
2664,Czhp,Cainozoic Hardpan,cainozoic hardpan,unclassified_rock,52
2664,Aux,Archaean Ultramafic Intrusive Pyroxenite,archaean ultramafic intrusive pyroxenite,pyroxenite,101
2705,NAO,Transported  Alluvium,transported alluvium,alluvium,101
2705,RPA,Regolith Pallid Zone,regolith pallid zone,regolith,100
2705,XXX,No Logs Available Could Not Recode,no logs available could not recode,unclassified_rock,43
2705,RSC,Regolith Silcrete,regolith silcrete,silcrete,101
2705,OOO,Unknown,unknown,unclassified_rock,101
2705,IOO,Intermediate  Rock undivided,intermediate rock undivided,rock,100
2705,RLO,Regolith  Undiffere ntiated  Laterite,regolith  undiffere ntiated laterite,laterite,101
2705,MBO,Mafic  Basalt  undivided,mafic  basalt undivided,basalt,100
2705,NSO,Transported  Sand,transported sand,bioclastic,101
2705,USH,Ultramafic  schist undivided,ultramafic schist undivided,schist,100
2705,UOO,Ultramafic  Rocks  undivided,ultramafic rocks  undivided,unclassified_rock,80
2705,DLO,Duricrust  Lateritic,duricrust lateritic,duricrust,100
2705,FOO,Felsic  Rocks  undivided,felsic rocks  undivided,felsic,100
2705,GOO,Intrusive Granitic Rocks,intrusive granitic rocks,unclassified_rock,76
2705,MDO,Mafic dolerite,mafic dolerite,dolerite,101
2705,NFO,Transported  Ferruginous,transported ferruginous,colluvium,100
2705,RFC,Regolith Ferruginous Clays,regolith ferruginous clays,mud,101
2705,NGO,Transported  Gravel,transported gravel,gravel,101
2705,NCO,Transported  Clay,transported clay,mud,101
2705,RFO,Regolith Ferruginous Undifferentiated,regolith ferruginous undifferentiated,unclassified_rock,101
2705,UAO,Ultramafic  with  metamorphic  amphibole,ultramafic with metamorphic amphibole,unclassified_rock,80
2705,RMZ,Regolith Mottled Zone,regolith mottled zone,regolith,100
2705,MAO,Mafic  Amphibolite,mafic amphibolite,amphibolite,101
2705,UTO,Ultramafic  with talc,ultramafic with talc,talc-rock,101
2705,USE,Ultrama fic Serpentinite,ultrama fic serpentinite,serpentinite,101
2705,NHO,Transported  hardpan,transported  hardpan,colluvium,100
2705,GPO,Intrusive Pegmatites,intrusive pegmatites,unclassified_rock,63
2705,RCY,Regolith  Clay,regolith  clay,mud,101
2705,FIO,Felsic  Intrusive undivided,felsic intrusive undivided,felsic,100
2705,NOO,Transported  Undivided,transported undivided,colluvium,100
2705,RHP,Regolith  Hardpan,regolith  hardpan,regolith,100
2705,OLO,Unknown lost core no sample  etc,unknown lost core no sample etc,unclassified_rock,100
2705,UAT,Ultramafic  with amphibole talc chlorite,ultramafic with amphibole talc chlorite,talc-rock,100
2705,WOO,Weathered Rock Insitu Clay Saprolite,weathered rock insitu clay saprolite,saprolite,101
2705,RCV,Regolith Colluvium,regolith colluvium,colluvium,101
2705,DHO,Duricrust  Hardpan,duricrust hardpan,duricrust,100
2705,MOO,Mafic  Rocks  undivided,mafic rocks  undivided,mafic,100
2705,NLO,Transported  Laterite,transported laterite,laterite,101
2708,ALN,Alluvial Nodules,alluvial nodules,nodules,101
2708,IRST,Ironstone,ironstone,ironstone,101
2708,RCY,Residual Clay,residual clay,mud,101
2708,SSH,Shale,shale,mudstone,101
2708,RLC,Residual Clay Zone,residual clay zone,mud,100
2708,TMSH,Schist,schist,schist,101
2708,UKB,Basaltic komatiite,basaltic komatiite,komatiite,101
2708,PER,Peridolite,peridolite,peridotite,90
2708,BLT,Basalt,basalt,basalt,101
2708,CHRT,Chert,chert,chert,101
2708,RUC,Ultramafic caprock,ultramafic caprock,ultramafic-rock,91
2708,RSP,Saprolite,saprolite,saprolite,101
2708,SQFS,Quartz feldsparsericite schist meta argillite or arenite,quartz feldsparsericite schist meta argillite or arenite,sandstone,101
2708,SK,Arkose,arkose,sandstone,101
2708,U,Ultramafic,ultramafic,coarse-grained-ultramafic-rock,100
2708,SRP,Serpentinite,serpentinite,serpentinite,101
2708,SCL,Claystone,claystone,mudstone,101
2708,ITAF,Intermediate tuff ash fall,intermediate tuff ash fall,fall,101
2708,RSO,Residual Soil,residual soil,soil,101
2708,DRT,Diorite,diorite,diorite,101
2708,RLA,Residual Undifferentiated Laterite,residual undifferentiated laterite,laterite,101
2708,SIFX,Oxide Iron Formation,oxide iron formation,banded_iron_formation,81
2708,TCBS,Talc carbonate Schist,talc carbonate schist,schist,101
2708,XKA,Undifferentiated Non-residual Calcrete,undifferentiated non residual calcrete,calcrete,101
2708,XSI,Undifferentiated Non-residual Silcrete,undifferentiated non residual silcrete,silcrete,101
2708,XLZ,Undifferentiated Non-residual Pallid Zone,undifferentiated non residual pallid zone,unclassified_rock,100
2708,RLZ,Residual Pallid Zone,residual pallid zone,unclassified_rock,55
2708,SCHT,Schist,schist,schist,101
2708,UTC,Talc chlorite,talc chlorite,talc-rock,100
2708,SLT,Silt,silt,mud,101
2708,SOIL,Soil,soil,soil,101
2708,ACY,Alluvial Clay,alluvial clay,mud,101
2708,CGA,Colluvial Gravel/Sand,colluvial gravel sand,bioclastic,101
2708,MOTZ,Mottle Zone,mottle zone,mottled_zone,87
2708,SCI,Chert,chert,chert,101
2708,TMPH,Phyllite,phyllite,phyllite,101
2708,UPX,Pyroxenite,pyroxenite,pyroxenite,101
2708,XLC,Undifferentiated Non-residual Clay Zone,undifferentiated non residual clay zone,mud,100
2708,XSC,Undifferentiated Non-residual Sand/Clay,undifferentiated non residual sand clay,mud,101
2708,RKA,Residual Calcrete,residual calcrete,calcrete,101
2708,MTB,Theoliitic basalt,theoliitic basalt,basalt,101
2708,MG,Gabbroid,gabbroid,gabbroid,101
2708,M,Mafic Rock,mafic rock,rock,101
2708,M,Mafic,mafic,mafic,101
2708,UTCB,Undifferentiated talc carboante,undifferentiated talc carboante,talc-rock,100
2708,CPB,Colluvial Pebbles,colluvial pebbles,gravel,101
2708,MCS,Tremolite actinolite chlorite schist,tremolite chlorite schist,schist,101
2708,GVL,Gravel,gravel,gravel,101
2708,FV,Felsic Volcanic,felsic volcanic,felsic,100
2708,UPD,Peridotite,peridotite,peridotite,101
2708,KTT,Komatiite,komatiite,komatiite,101
2708,SAN,Sannaite,sannaite,lamprophyre,101
2708,AP,Aplite,aplite,aplite,101
2708,RGA,Residual Gravel/Sand,residual gravel sand,bioclastic,101
2708,GO,Gossan,gossan,gossan,101
2708,XTC,Undifferentiated Non-residual Silt/Clay,undifferentiated non residual silt clay,mud,101
2708,XLM,Undifferentiated Non-residual Mottle Zone,undifferentiated non residual mottle zone,unclassified_rock,100
2708,XIR,Undifferentiated Non-residual Ironstone,undifferentiated non residual ironstone,ironstone,101
2708,RSC,Residual Sand/Clay,residual sand clay,mud,101
2708,RIR,Residual Ironstone,residual ironstone,ironstone,101
2708,RHP,Residual Hardpan,residual hardpan,unclassified_rock,55
2708,LATT,Laterite,laterite,laterite,101
2708,ATC,Alluvial Silt/Clay,alluvial silt clay,mud,101
2708,ALP,Alluvial Pisolites,alluvial pisolites,alluvium,100
2708,CLP,Colluvial Pisolites,colluvial pisolites,unclassified_rock,67
2708,UAC,Amphibole talc chlorite,amphibole talc chlorite,talc-rock,100
2708,SND,Sand,sand,bioclastic,101
2708,RLM,Residual Mottle Zone,residual mottle zone,unclassified_rock,69
2708,PHYL,Phyllite,phyllite,phyllite,101
2708,MN,Norite,norite,norite,101
2708,CIP,Colluvial Robe pisolite,colluvial robe pisolite,pisolite,101
2708,CCY,Colluvial Clay,colluvial clay,mud,101
2708,BLSH,Black Shale,black shale,mudstone,101
