Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,CET_Litho,Score,
1621,1233095,46,55,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,55,60,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,55,60,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,55,60,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,60,108,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,60,108,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,60,108,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,0,8,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,0,8,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,0,8,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,8,9,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,8,9,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,8,9,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,9,16,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,9,16,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,9,16,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,16,33,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,16,33,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,16,33,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,33,42,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,33,42,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,33,42,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,42,48,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,42,48,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,42,48,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,48,51,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,48,51,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,48,51,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,51,70,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,51,70,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,51,70,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,70,85,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,70,85,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,70,85,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,85,89,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,85,89,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,85,89,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,89,96,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,89,96,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,89,96,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,96,108,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,96,108,Sif,iron-formation,banded_iron_formation,90,
1621,1233096,96,108,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,0,5,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,0,5,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,0,5,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,5,24,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,5,24,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,5,24,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,24,32,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,24,32,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,24,32,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,32,49,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,32,49,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,32,49,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,49,76,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,49,76,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,49,76,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,76,114,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,76,114,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,76,114,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,114,118,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,114,118,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,114,118,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,118,144,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,118,144,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,118,144,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,144,147,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,144,147,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,144,147,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,147,174,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,147,174,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,147,174,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,174,175,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,174,175,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,174,175,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,175,192,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,175,192,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,175,192,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,192,194,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,192,194,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,192,194,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,194,215,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,194,215,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,194,215,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,215,218,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,215,218,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,215,218,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,218,250,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,218,250,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,218,250,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,250,251,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,250,251,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,250,251,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,251,252,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,251,252,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,251,252,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,252,253,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,252,253,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,252,253,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,253,264,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,253,264,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,253,264,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,264,265,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,264,265,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,264,265,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,265,267,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,265,267,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,265,267,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,267,286,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,267,286,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,267,286,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,286,289,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,286,289,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,286,289,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,289,293,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,289,293,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,289,293,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,293,300,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,293,300,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,293,300,SIF,Banded iron formation,banded_iron_formation,95,
1621,1233098,300.9,332.65,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,300.9,332.65,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,300.9,332.65,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,332.65,344.3,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,332.65,344.3,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,332.65,344.3,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,344.3,344.96,Ssh,shale,mudstone,101,
1621,1233098,344.3,344.96,Ssh,shale,mudstone,101,
1621,1233098,344.3,344.96,Ssh,shale,mudstone,101,
1621,1233098,344.96,346.23,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,344.96,346.23,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,344.96,346.23,Sif,iron-formation,banded_iron_formation,90,
1621,1233098,346.23,347.36,Ssh,shale,mudstone,101,
1621,1233098,346.23,347.36,Ssh,shale,mudstone,101,
